customer_text,amazon_reply
"@AmazonHelp I was suppose to receive the order on Friday(Oct 20), but saw that it got delayed from Oct 20-24.",@356793 I'm sorry for the poor experience! Did we send any communication about the delay? ^TR
@AmazonHelp yes but they said ur product is at the hub and sry fr d delay hope u understnd ur customer issues n solve dem,@357552 Apologies for the ordeal Gaurav. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN
"@115821 @AmazonHelp Someone has used my card in US for $10.99. I am not aware of this, @115850 is saying that it belong to us","@357886 Hey Vishal, check out - //www.amazon.com/gp/subs/primeclub/account/homepage.html It sounds like a monthly Prime charge. ^TP"
@amazonhelp tried prime to get order for today. Waited all day for ‘out for delivery’ &amp; not turned up. 40 min call to get a refund. Rubbish!,"@129010 I'm sorry missed we the mark on this You mentioned that you were refunded, but were there any additional options provided? ^JS"
"@AmazonHelp I'm honestly not sure. I wasn't necessarily expecting it the same day, but I did think it would arrive the same week, or at the very least the same month!",@138149 We'd like to look into your order with you. Please reach out to us via phone or chat here: https://t.co/hApLpMlfHN. We're here to help! ^AX
"@AmazonHelp It was indeed a pre-order made nearly three months before release. Here is the response I got, asking me to wait until after Christmas, which is never acceptable https://t.co/c2fdgVMVy5","@138149 I'm so sorry! I'd like to dig into this with you. When you placed the order, was it eligible for release-date delivery? You can find more information about our release-day delivery by visiting us here: https://t.co/01tLDi18mW ^TK"
@AmazonHelp I just thought the lack of date provided was due to being in advance https://t.co/Eix7WudNak,@138149 I can see this was a pre-order. What is the current status of your order and is there any estimate for availability? ^BD
"Grazie #Amazon, si vede che mi conosci😂 Peró vorrei cambiare paese nella vita, grazie! https://t.co/Sp3XW6tFZe",@359524 😂 Ti abbiamo fatto sognare un po'!  😉 ^GD https://t.co/rW3bAqFlWj
@115821 extremely poor response from Amazon and bluedart in picking up  damaged product delivered. Return was requested on 03.10.17.Pls help,@359681 I'm sorry about the delay in pick up. Please report this to our support team here: https://t.co/vlvfJr4nN9. ^HA
"@AmazonHelp contacted your support team over phone 6 times. Everytime they made comitments, but none came for pickup. Its almost a month now",@359681 I apologize for the hassle. Kindly share your details here: https://t.co/beaaDm0muc and I'll contact you soon.^VH
@AmazonHelp my contact details were sent to you via link mentioned in your tweet. But no one ccontacted me so far.,"@359681 You should have received an email from us, please check and revert Vishal. ^HN"
