tweet_id,customer_id,created_at,prior_customer_turn,customer_text,amazon_reply_text,heuristic_bucket,difficulty,human_intent,human_escalate,human_escalate_reason,human_notes
109966,140408,Thu Nov 23 19:17:09 +0000 2017,,"Think twice before give them your credit card and shopping @115821 you'll risk having your account hacked, their customer service, which happens to be in the Philippine is incompetent and unhelpful. You're left waiting &amp; when you get someone they don't understand anything you say","@140408 
I am so sorry for the trouble, Bianca. We are here to help! Have you received an email from our account specialist? ^SC",account_access,clear,,,,
2401809,691021,Fri Oct 20 13:33:06 +0000 2017,,"It takes forever to contact @115821 customer service but once you do, they're on point. Great service. Thanks Amazon!",@691021 Sorry it took so long - but glad to hear we were able to help :-)  ^TD,other,ambiguous,,,,
1748614,527072,Tue Oct 17 20:28:29 +0000 2017,,@AmazonHelp I can’t find the option to cancel ITV hub in my amazon prime subscription.,"@527072 I'm sorry for the troubles canceling the app, Andy! Can you confirm that you're using the same email address for app &amp; acct?^FR",return_cancel,clear,,,,
362041,201762,Sun Oct 08 19:45:36 +0000 2017,,@AmazonHelp My credit card is secure enough. Why would you need my personal details beyond what is required in registration of amazon?,@201762 To confirm your identity and avoid any fraudulent use. ^MH,other,ambiguous,,,,
2583007,684694,Thu Nov 16 23:28:40 +0000 2017,,@115821 your delivery in #Delco is awful. Next day shipping and the delivery was sent to the wrong house. It’s not anywhere in or around my house but says it was delivered to a resident. https://t.co/9HOYg2civK,@684694 I'm so sorry for this poor experience! This is not how we strive to do business. We'd like to look into this further with you. Please reach us by phone/chat here: https://t.co/hApLpM3Ejd ^HS,ambiguous,ambiguous,,,,
597949,261761,Sun Dec 03 19:50:07 +0000 2017,,@AmazonHelp Alexa will just randomly play music we didn’t ask for or change genre or album before finishing our album,"@261761 Hi, Katie! I'm sorry that your Alexa is randomly playing songs you didn't ask for. Alexa can pick up commands from any nearby source, including the TV. You can view your dialog history to see what command she heard that made her switch:  https://t.co/nmN8ZTyh4m  ^SP",app_technical,clear,,,,
2468609,706263,Tue Nov 21 11:08:27 +0000 2017,@AmazonHelp No and has been about 3 days since last telephone conversation.,@AmazonHelp Still no one has called me. Can you PLEASE get someone to contact me and sort this mess out. Thank you very much.,@706263 We don't have access to your account via Twitter. Please get in touch here: https://t.co/jzvkhdlrK5 ^CN,other,ambiguous,,,,
1380274,441304,Sun Oct 29 01:59:32 +0000 2017,,@AmazonHelp already contacted CS.. no resolution!,@441304 Apologies for the experience. Please share your details here: https://t.co/GIJyeYqKE0 I'll assist. ^SV,other,ambiguous,,,,
311305,190342,Sat Oct 07 02:43:19 +0000 2017,,@115821 to compensate. While you even hesitated to refund me until Monday. Ridiculous.,@190342 I'm sorry for the wait! Were all four orders shipped with the same carrier? You can check here: https://t.co/hApLpMlfHN ^BH,refund_billing,clear,,,,
1732094,523258,Tue Nov 07 12:44:26 +0000 2017,,"@AmazonHelp I’ll try to, thanks. I’ll need to wait until I’m back from work.","@523258 Hi, if you've any issues please let us know. Our carriers deliver until 9pm today. ^TS",other,ambiguous,,,,
1318990,428022,Fri Oct 27 08:44:00 +0000 2017,,@AmazonHelp .de but I'm hearing that everyones order on this dvd got cancelled,"@428022 Korrekt, da es diesen Artikel nun doch nicht geben wird. :-( ^KM",return_cancel,clear,,,,
2482109,709181,Sun Oct 29 22:57:00 +0000 2017,,@AmazonHelp Hi. An order I made is showing up as delivered today. It was not. My account says it was handed to resident. I am in the UK.,@709181 Please give us a call here: https://t.co/JzP7hlA23B so we can look into this with you! ^TR,delivery,clear,,,,
2342071,677442,Mon Nov 13 14:08:16 +0000 2017,,Hey @AmazonHelp I'm having a strange problem with my Echo Dot (only when connected to bluetooth speakers). The sound crackles a little and drops words but only when Alexa is speaking. Not when music is playing or the news capsule is being read. Can you help me solve it? Thanks.,@677442 Apologies for the unpleasant experience. Please share your details here: https://t.co/beaaDm0muc and I’ll contact you soon.  ^JS,app_technical,clear,,,,
627319,268571,Mon Oct 23 14:46:30 +0000 2017,,@AmazonHelp i m waiting for quick updates,@268571 Our team will work on this and get back to you soon. Request you to wait till then. ^SK,other,ambiguous,,,,
1730743,434624,Tue Nov 07 11:30:05 +0000 2017,,"@AmazonHelp I would like to raise a serious complaint regarding my account and my failed order, 3rd time now and I find it disgusting","@434624 I'm sorry for the order trouble, Craig! Without including personal/account information, could you tell us more? ^SD",service_complaint,clear,,,,
880974,137142,Fri Oct 13 16:52:06 +0000 2017,,"@AmazonHelp Hi there iPhone -- I'm afraid since the iOS update, the app has been insanely unstable.",@137142 Thanks for the information! Have you tried uninstalling/reinstalling the app? ^ML,app_technical,clear,,,,
1597742,490785,Sun Nov 05 01:47:37 +0000 2017,,@AmazonHelp Your service has become totally unreliable!,"@490785 I'm sorry for the frustration. Without providing any account or personal info, can you tell us more about the issue? ^SJ",other,ambiguous,,,,
